call_id,caller_id,agent_id,call_start_time,call_end_time,call_status
51,709318,1900,23:51:12,10:25:55,COMPLETED
52,906356,9006,19:21:47,18:14:01,COMPLETED
53,226145,2399,22:39:54,12:35:20,DROPPED
54,761464,6652,10:25:00,01:30:43,FAILED
55,564785,8589,12:59:00,08:36:23,COMPLETED
56,957687,3105,17:44:29,09:44:29,COMPLETED
57,408677,4802,05:33:04,10:20:42,DROPPED
58,805351,9943,06:43:34,16:09:40,COMPLETED
59,612413,1317,11:45:41,03:11:45,FAILED
60,495607,1502,23:05:04,16:34:41,COMPLETED
61,665390,1079,19:11:08,18:09:30,COMPLETED
62,562213,2641,23:29:41,10:29:05,DROPPED
63,643837,4372,06:54:15,15:15:12,DROPPED
64,128557,2762,16:41:51,08:27:26,COMPLETED
65,432834,3047,19:28:28,13:29:52,COMPLETED
66,465592,6810,13:53:06,09:38:37,FAILED
67,270524,2280,04:40:20,09:43:49,DROPPED
68,430885,5731,22:38:13,10:38:55,COMPLETED
69,373755,8772,13:18:32,04:00:02,FAILED
70,720641,9493,00:01:10,10:28:57,DROPPED
71,778114,7621,18:30:32,04:09:52,DROPPED
72,319805,1839,21:43:58,17:47:29,FAILED
73,254765,9594,09:58:46,05:39:56,COMPLETED
74,148150,1338,08:04:52,14:45:09,COMPLETED
75,740860,8702,13:41:12,05:42:55,FAILED
76,726812,4640,17:51:31,08:17:38,COMPLETED
77,189530,9739,11:16:50,08:57:47,COMPLETED
78,363403,9188,01:25:37,16:40:47,COMPLETED
79,955102,7921,22:32:07,05:28:49,DROPPED
80,515398,3668,04:59:20,10:26:36,COMPLETED
81,759874,3650,11:40:55,07:57:39,FAILED
82,441403,7765,06:17:04,13:05:55,FAILED
83,593368,4720,19:28:42,02:05:29,COMPLETED
84,836078,2361,08:46:13,04:48:12,COMPLETED
85,538408,4832,23:06:02,10:43:26,FAILED
86,361492,3244,11:27:07,17:56:24,COMPLETED
87,184688,9654,06:02:51,23:20:04,DROPPED
88,979221,3809,23:28:12,15:24:05,DROPPED
89,634310,6614,07:32:24,13:47:16,COMPLETED
90,199396,4437,14:57:59,06:48:35,DROPPED
91,722328,2705,04:33:51,15:36:56,COMPLETED
92,149843,7508,19:41:49,22:51:20,COMPLETED
93,217378,7876,08:53:37,19:23:24,COMPLETED
94,228823,5470,17:55:25,17:37:20,COMPLETED
95,136999,8813,03:16:52,18:50:52,FAILED
96,207617,5964,04:15:29,01:22:21,DROPPED
97,167393,2213,00:55:38,14:53:33,FAILED
98,146986,3365,01:08:35,11:43:07,COMPLETED
99,336612,6770,09:07:00,12:04:44,DROPPED
100,670081,3364,13:21:57,04:34:14,DROPPED
101,270957,2753,05:45:53,15:36:17,COMPLETED
102,849193,1988,19:02:13,01:24:23,DROPPED
103,265740,9108,04:49:41,11:08:57,DROPPED
104,710446,2703,02:28:52,06:18:57,DROPPED
105,169314,4227,14:31:49,04:10:27,COMPLETED
106,226386,5432,12:43:38,03:54:27,COMPLETED
107,997397,3056,16:52:47,23:42:41,DROPPED
108,533135,2192,07:43:32,18:48:31,COMPLETED
109,291806,1263,08:07:26,02:19:31,DROPPED
110,959039,7541,03:48:28,17:32:33,COMPLETED
111,340459,8241,00:43:49,17:39:45,DROPPED
112,972362,4264,05:21:47,04:17:43,FAILED
113,581127,5193,22:49:21,10:23:14,DROPPED
114,846509,8922,21:55:52,20:47:29,FAILED
115,571627,7492,03:12:23,18:47:51,DROPPED
116,250869,8476,03:03:38,03:44:48,DROPPED
117,727782,5730,21:56:40,07:03:46,DROPPED
118,532363,7002,03:26:33,08:25:32,COMPLETED
119,250138,7428,12:02:22,12:41:10,DROPPED
120,704286,7699,06:42:58,23:30:13,COMPLETED
121,476219,2517,23:54:16,02:03:48,FAILED
122,772277,4854,17:37:49,14:34:53,DROPPED
123,747361,6796,15:42:45,08:57:58,COMPLETED
124,513927,8450,08:05:14,01:14:42,COMPLETED
125,526905,6948,02:43:24,07:16:21,FAILED
126,454981,4153,00:19:59,18:52:18,FAILED
127,537892,7718,22:14:26,17:31:40,COMPLETED
128,803086,2555,08:27:50,11:55:42,DROPPED
129,560946,1609,13:26:35,20:16:12,FAILED
130,302339,5728,04:41:51,09:57:59,DROPPED
131,163815,6097,13:33:01,04:57:57,DROPPED
132,459009,7560,07:28:48,01:07:25,COMPLETED
133,308801,2023,06:56:25,07:13:47,FAILED
134,225688,4964,12:17:58,12:46:08,COMPLETED
135,118839,8670,15:29:43,17:41:23,FAILED
136,205581,9401,19:49:27,13:58:55,DROPPED
137,383637,5887,03:02:47,21:43:10,FAILED
138,733111,8468,15:09:47,01:54:17,FAILED
139,528093,6169,15:56:17,13:39:42,FAILED
140,648476,3058,10:27:53,23:48:54,COMPLETED
141,216892,1787,07:06:37,01:30:05,DROPPED
142,931631,8685,19:02:01,03:54:38,COMPLETED
143,542872,1744,02:08:12,22:51:34,DROPPED
144,179841,7700,13:17:51,01:30:44,COMPLETED
145,732413,7007,14:17:20,07:56:47,FAILED
146,921825,2735,04:16:58,15:24:53,FAILED
147,114796,9065,09:09:35,10:15:59,COMPLETED
148,250514,7772,12:00:34,22:25:04,FAILED
149,532198,9813,23:50:03,16:12:47,COMPLETED
150,118379,2369,14:55:50,21:39:29,DROPPED
151,623770,8241,09:58:49,04:02:40,DROPPED
152,199174,8126,12:34:05,07:05:27,FAILED
153,100072,6611,14:37:23,09:02:45,COMPLETED
154,458052,6577,15:11:52,05:15:00,FAILED
155,473842,8757,19:54:15,02:40:49,DROPPED
156,471581,5125,15:38:44,17:34:37,DROPPED
157,389259,7852,13:40:12,00:02:47,FAILED
158,421321,4599,16:44:47,08:35:45,DROPPED
159,161888,9513,03:24:07,08:40:12,FAILED
160,808909,2724,05:40:10,10:28:19,FAILED
161,159152,5660,03:18:11,00:50:07,COMPLETED
162,522178,7718,21:27:50,11:02:11,COMPLETED
163,736221,2610,00:30:58,11:49:39,DROPPED
164,525148,2159,22:04:54,11:22:50,DROPPED
165,417157,5077,13:35:15,18:33:37,COMPLETED
166,535816,3022,04:16:38,08:23:59,DROPPED
167,796320,2556,06:00:18,16:00:57,COMPLETED
168,504003,6061,01:43:22,09:41:13,DROPPED
169,200060,7290,01:16:16,08:32:20,COMPLETED
170,733049,4756,00:15:12,06:03:50,COMPLETED
171,805035,2756,14:29:50,19:07:29,FAILED
172,798881,3915,15:44:21,18:03:29,DROPPED
173,176223,5245,02:54:01,09:10:09,COMPLETED
174,708942,5198,08:28:13,12:33:59,COMPLETED
175,834539,8022,11:49:56,06:33:19,DROPPED
176,325553,5181,01:22:07,00:53:15,COMPLETED
177,675736,4019,12:53:51,18:51:58,COMPLETED
178,275114,1196,01:24:36,06:50:21,DROPPED
179,359992,8364,22:18:55,07:35:45,DROPPED
180,992032,6271,17:36:24,02:56:53,COMPLETED
181,986476,6312,18:46:38,05:51:02,FAILED
182,530629,2090,04:50:15,13:40:51,DROPPED
183,529625,9860,00:38:22,20:12:21,FAILED
184,510367,2470,15:26:24,06:34:35,FAILED
185,545440,6833,03:51:11,15:00:30,DROPPED
186,332732,5899,09:49:46,00:57:08,FAILED
187,693893,4756,16:50:28,21:11:14,COMPLETED
188,169700,8047,23:34:38,05:00:02,FAILED
189,676373,5056,22:21:49,22:00:17,FAILED
190,213299,7448,00:24:44,16:32:24,COMPLETED
191,742023,6644,20:56:56,09:21:16,DROPPED
192,732499,5412,09:28:05,02:21:43,DROPPED
193,511885,5880,19:52:37,00:28:09,FAILED
194,182993,4625,23:34:08,19:47:07,DROPPED
195,362959,7293,11:53:23,03:24:31,FAILED
196,264504,5630,14:35:47,05:07:07,FAILED
197,804053,3405,10:13:15,21:09:26,DROPPED
198,673499,7423,04:02:00,16:24:07,DROPPED
199,382537,9398,00:46:47,03:39:03,COMPLETED
200,605216,8887,17:22:05,02:49:45,FAILED
201,466295,5007,18:03:14,11:21:21,FAILED
202,906798,2564,23:26:41,04:47:28,COMPLETED
203,579937,3440,02:17:56,06:02:23,FAILED
204,937001,4747,21:38:33,09:03:13,COMPLETED
205,393167,5937,17:26:04,09:34:56,FAILED
206,126465,2075,06:24:24,17:20:21,FAILED
207,938272,5562,03:04:06,01:07:57,COMPLETED
208,546777,6547,21:10:21,17:10:34,DROPPED
209,997068,1528,03:08:44,09:29:37,COMPLETED
210,741455,2618,19:43:17,11:32:26,DROPPED
211,665835,2120,13:42:35,00:55:21,COMPLETED
212,716245,2968,20:15:27,10:36:39,FAILED
213,198424,4603,22:10:43,13:13:17,DROPPED
214,558157,8815,19:47:56,11:40:49,COMPLETED
215,928493,3705,07:25:03,18:27:35,DROPPED
216,876346,1552,01:58:13,04:22:21,DROPPED
217,603698,7792,00:04:22,10:41:58,DROPPED
218,728874,2988,05:52:49,13:45:32,DROPPED
219,943367,9288,00:12:19,22:27:14,FAILED
220,698173,9595,08:47:22,02:01:31,FAILED
221,971826,4763,10:00:13,13:54:49,FAILED
222,904966,9714,01:32:36,22:30:46,FAILED
223,770553,1622,11:29:39,01:23:43,COMPLETED
224,129328,9801,13:44:13,20:02:57,FAILED
225,711907,9265,07:42:09,14:42:54,COMPLETED
226,951422,6744,15:54:26,22:11:42,COMPLETED
227,592366,2459,21:04:59,03:16:44,DROPPED
228,832862,7541,19:22:15,09:18:51,COMPLETED
229,587918,2008,02:56:49,18:31:33,FAILED
230,190449,9923,22:50:06,18:26:34,COMPLETED
231,614767,3965,16:07:20,17:04:30,FAILED
232,789372,4620,22:36:19,04:53:42,FAILED
233,339484,9287,21:29:57,08:15:57,FAILED
234,200128,5822,02:50:11,00:40:52,DROPPED
235,440165,6337,19:31:48,07:14:28,DROPPED
236,594788,1002,21:04:35,19:58:00,FAILED
237,858401,9209,17:20:50,22:09:56,FAILED
238,930267,1881,20:34:07,06:35:25,COMPLETED
239,214304,5261,11:07:08,06:35:04,COMPLETED
240,252006,3443,23:08:10,11:20:41,FAILED
241,840778,8099,00:58:46,13:20:37,DROPPED
242,206230,2279,08:37:46,14:35:43,DROPPED
243,385394,5635,10:00:37,06:22:46,COMPLETED
244,308280,9253,11:39:45,20:11:35,DROPPED
245,727708,7174,00:11:29,07:45:00,COMPLETED
246,174460,9477,06:59:02,12:22:41,DROPPED
247,631655,4304,13:59:35,16:07:24,DROPPED
248,784574,5182,01:18:15,22:05:43,COMPLETED
249,522827,3131,22:16:13,07:54:29,FAILED
250,734408,2448,16:59:12,17:03:02,COMPLETED
251,115316,2441,18:47:00,16:05:00,FAILED
252,604933,2744,09:13:27,16:26:16,FAILED
253,778537,3574,06:03:50,01:13:34,FAILED
254,842093,1430,13:00:56,20:08:44,COMPLETED
255,971881,8928,15:10:56,13:47:12,FAILED
256,497146,1100,10:19:57,14:51:33,DROPPED
257,668206,1790,21:13:27,23:17:17,DROPPED
258,493187,3739,04:45:47,05:20:14,COMPLETED
259,225228,6612,16:15:23,10:45:58,DROPPED
260,423548,4712,19:03:22,01:57:43,DROPPED
261,763042,3458,19:26:55,11:39:59,COMPLETED
262,852876,8778,16:05:32,18:10:41,COMPLETED
263,547223,8609,03:59:21,20:00:46,COMPLETED
264,988995,8933,08:29:43,13:38:47,COMPLETED
265,135554,3166,01:04:55,06:32:57,DROPPED
266,811281,2041,20:36:37,07:06:36,DROPPED
267,615553,1178,20:38:17,13:06:12,DROPPED
268,302077,1086,03:55:32,08:34:48,COMPLETED
269,127302,7230,04:32:21,19:20:09,DROPPED
270,921594,3774,20:37:32,10:15:08,DROPPED
271,431157,3594,12:56:26,16:23:36,FAILED
272,318046,5264,13:13:51,23:50:30,FAILED
273,361219,7073,13:54:24,17:39:22,COMPLETED
274,891638,4620,23:08:18,19:33:10,FAILED
275,103866,5011,15:42:12,10:10:33,DROPPED
276,477499,5562,00:30:03,15:07:59,FAILED
277,664553,3955,16:41:58,23:44:32,COMPLETED
278,285560,8420,18:23:48,11:28:34,COMPLETED
279,686109,6077,18:23:36,06:19:13,COMPLETED
280,710155,7025,11:27:33,03:05:12,FAILED
281,325964,7060,21:20:17,21:56:17,COMPLETED
282,995258,1520,14:22:02,11:30:31,COMPLETED
283,272067,9727,21:06:15,02:03:51,DROPPED
284,202142,5621,05:27:08,05:45:36,COMPLETED
285,218681,9982,11:17:05,02:39:15,COMPLETED
286,139267,7384,17:08:48,10:35:09,FAILED
287,354331,1163,03:49:19,14:56:07,DROPPED
288,879594,2720,14:26:42,04:45:46,COMPLETED
289,338205,4562,07:44:07,00:34:54,DROPPED
290,327852,6942,17:16:12,16:50:25,DROPPED
291,522499,5887,21:23:47,08:06:25,DROPPED
292,132955,6356,02:01:23,16:53:28,COMPLETED
293,381995,3401,15:00:56,15:54:18,COMPLETED
294,949540,5932,07:57:49,15:41:16,DROPPED
295,626496,3010,19:23:17,13:20:01,COMPLETED
296,446678,9498,04:47:43,14:46:36,DROPPED
297,512674,7853,18:49:46,07:47:00,FAILED
298,873423,1513,23:53:59,04:54:14,COMPLETED
299,531120,6945,20:47:22,22:04:09,COMPLETED
300,980766,6650,02:07:59,15:33:19,DROPPED
301,628960,3601,14:58:33,04:49:29,COMPLETED
302,871590,7405,16:59:10,13:03:18,COMPLETED
303,198879,9429,05:44:00,12:41:52,FAILED
304,917613,2947,10:45:21,08:53:59,COMPLETED
305,102554,9652,01:42:05,23:22:19,DROPPED
306,888109,8540,08:31:15,23:42:54,COMPLETED
307,438153,2209,09:46:01,13:57:33,COMPLETED
308,191786,8654,07:59:06,15:58:19,COMPLETED
309,747779,5992,18:25:26,12:06:51,FAILED
310,832300,2068,15:08:57,23:57:00,FAILED
311,757119,3961,12:34:45,21:41:43,FAILED
312,738322,1738,15:12:03,16:26:35,DROPPED
313,534644,9049,13:42:49,03:12:35,FAILED
314,102466,1340,05:00:10,21:49:31,DROPPED
315,332973,7106,14:58:51,08:54:24,DROPPED
316,549038,1539,02:25:25,18:56:12,COMPLETED
317,799589,2263,15:29:27,04:18:32,DROPPED
318,160268,7479,09:07:08,22:09:31,COMPLETED
319,466833,5552,15:32:51,14:18:04,FAILED
320,818027,6892,03:09:42,20:59:14,FAILED
321,682899,4523,08:20:07,14:13:26,DROPPED
322,413955,6754,19:00:02,08:41:47,COMPLETED
323,510897,8604,08:08:01,04:00:39,COMPLETED
324,450608,1949,22:42:34,22:58:49,DROPPED
325,950512,9851,07:17:30,12:38:49,FAILED
326,932107,1869,09:03:40,06:41:29,FAILED
327,718070,7467,00:03:43,01:38:13,COMPLETED
328,674208,1309,07:12:51,20:46:22,COMPLETED
329,483933,3397,18:05:25,12:39:37,DROPPED
330,356429,3215,02:59:35,01:02:05,DROPPED
331,670310,3157,12:10:00,10:22:45,DROPPED
332,413743,1725,09:06:57,14:39:58,FAILED
333,375778,7099,07:47:09,17:26:56,COMPLETED
334,372153,9427,03:49:35,04:02:28,DROPPED
335,113889,2414,21:57:56,23:39:53,FAILED
336,559084,5926,14:05:31,17:53:45,COMPLETED
337,789351,2136,16:03:46,08:56:05,FAILED
338,314510,9105,06:52:09,17:19:52,FAILED
339,401970,4769,14:35:50,08:34:29,FAILED
340,760948,1995,15:20:40,09:25:43,DROPPED
341,148602,3741,16:24:03,21:50:16,COMPLETED
342,363642,4429,07:13:19,20:04:12,DROPPED
343,849793,9995,00:10:45,19:46:13,DROPPED
344,601416,9511,08:05:54,02:47:43,COMPLETED
345,398262,2813,14:47:50,21:43:52,COMPLETED
346,372604,8453,10:12:49,11:28:55,FAILED
347,328429,9728,11:14:00,07:56:20,FAILED
348,435692,8375,03:08:45,05:01:41,FAILED
349,574502,6879,17:29:11,15:52:00,COMPLETED
350,761724,4568,04:56:40,04:09:18,FAILED
351,249350,6174,19:25:56,15:55:49,COMPLETED
352,746876,9832,08:07:18,01:42:00,DROPPED
353,900737,3891,13:48:33,09:02:49,FAILED
354,129337,1523,10:00:33,06:09:13,DROPPED
355,885192,4654,14:42:14,12:47:22,COMPLETED
356,476582,5817,15:53:20,17:17:38,COMPLETED
357,325404,9686,04:00:17,04:24:59,FAILED
358,308583,8198,03:27:45,13:17:48,FAILED
359,428987,7651,15:08:58,16:18:17,DROPPED
360,493255,5666,19:28:12,23:59:46,COMPLETED
361,334248,6597,22:28:21,11:11:41,COMPLETED
362,534575,2998,05:20:16,22:37:33,COMPLETED
363,599157,8980,02:02:27,22:45:23,DROPPED
364,788080,7383,00:06:18,11:05:55,DROPPED
365,579835,1738,05:48:38,17:54:09,DROPPED
366,839774,4864,07:55:54,12:32:48,COMPLETED
367,408327,5013,00:25:42,01:53:15,DROPPED
368,952146,9135,11:05:58,19:51:31,FAILED
369,764905,5901,03:53:01,17:31:09,FAILED
370,856476,3437,16:38:10,09:49:52,DROPPED
371,569602,5900,22:37:14,14:34:47,DROPPED
372,740498,5282,18:34:10,10:23:51,DROPPED
373,318784,4491,03:03:10,11:17:28,FAILED
374,694109,4314,23:54:06,01:53:26,DROPPED
375,960854,9256,09:12:24,13:49:35,COMPLETED
376,482513,1801,04:19:07,18:03:21,COMPLETED
377,749153,4276,18:07:02,02:00:40,DROPPED
378,747234,9136,08:13:24,20:15:19,DROPPED
379,440835,6211,06:51:31,05:17:43,COMPLETED
380,695800,7286,12:07:36,21:01:56,COMPLETED
381,521452,9118,02:28:30,02:02:41,FAILED
382,270162,2467,20:34:18,12:26:42,DROPPED
383,623546,6109,10:00:47,17:39:06,COMPLETED
384,747941,1738,08:22:50,06:19:33,DROPPED
385,830287,6587,07:34:35,22:44:25,FAILED
386,964189,6066,11:17:25,11:23:15,COMPLETED
387,495666,3709,03:56:59,04:47:57,COMPLETED
388,901895,6050,01:31:12,09:30:49,DROPPED
389,718636,6173,19:17:31,04:12:49,DROPPED
390,589915,1413,13:03:00,03:06:24,FAILED
391,393816,3965,03:16:12,02:04:40,DROPPED
392,344371,7008,11:59:03,08:45:49,DROPPED
393,531441,5790,09:29:13,12:47:23,COMPLETED
394,916834,4696,11:50:32,11:10:32,DROPPED
395,753033,4881,17:52:18,15:12:18,DROPPED
396,773831,2228,18:47:18,22:21:24,DROPPED
397,688365,6445,16:33:29,22:13:15,DROPPED
398,976142,7686,09:51:20,18:15:58,DROPPED
399,269236,9318,16:27:18,00:31:05,DROPPED
400,803229,7469,18:54:07,20:26:33,COMPLETED
401,843719,5915,11:23:52,16:34:32,COMPLETED
402,832119,1589,21:50:57,18:30:57,DROPPED
403,624024,7836,07:20:14,11:14:39,FAILED
404,549638,1261,01:48:01,15:22:07,COMPLETED
405,871156,6065,13:15:21,02:09:18,DROPPED
406,574693,8752,12:59:12,01:57:38,DROPPED
407,372158,3892,01:59:46,07:41:17,DROPPED
408,179712,5784,22:38:16,11:34:58,COMPLETED
409,688116,3443,17:52:23,10:37:05,FAILED
410,568634,8413,11:27:12,02:53:54,COMPLETED
411,584289,4504,20:28:59,18:45:19,COMPLETED
412,973937,9931,07:06:33,01:53:06,FAILED
413,174970,6890,20:35:28,19:22:25,COMPLETED
414,265604,6820,16:16:52,14:30:30,COMPLETED
415,990818,4403,07:34:43,19:31:47,DROPPED
416,625287,8757,15:27:35,06:24:26,COMPLETED
417,614623,9854,08:46:34,11:17:31,COMPLETED
418,670597,8712,11:54:35,11:46:59,DROPPED
419,901243,4200,02:14:34,13:14:51,DROPPED
420,962281,1174,12:44:48,22:21:01,COMPLETED
421,940264,8776,08:35:48,20:19:20,FAILED
422,567901,2157,02:51:47,22:43:58,COMPLETED
423,506406,9075,20:45:31,08:12:45,FAILED
424,926614,3991,08:07:34,23:37:42,COMPLETED
425,682034,3757,02:07:34,07:48:13,FAILED
426,519901,6099,05:20:45,03:24:31,FAILED
427,735355,6680,17:15:47,08:47:32,FAILED
428,451022,6207,06:23:30,17:18:50,FAILED
429,991970,3135,20:43:57,04:05:51,FAILED
430,773795,6854,01:12:23,16:44:34,DROPPED
431,862128,9880,07:33:12,01:53:47,COMPLETED
432,637031,7354,01:56:03,11:26:45,COMPLETED
433,503507,9533,02:08:50,11:49:07,FAILED
434,275963,7538,23:17:57,00:21:18,DROPPED
435,997292,5035,04:07:13,20:39:09,COMPLETED
436,727858,9452,20:03:10,01:22:17,DROPPED
437,859801,1960,08:24:27,14:03:44,COMPLETED
438,113949,6883,13:06:01,20:21:30,DROPPED
439,665576,3177,15:20:12,07:23:37,FAILED
440,540568,5181,23:51:04,05:18:06,COMPLETED
441,617175,8498,08:26:01,13:29:28,DROPPED
442,823857,4265,02:54:22,23:25:31,FAILED
443,891176,8376,10:31:29,05:46:30,COMPLETED
444,625947,4407,07:54:42,01:53:58,DROPPED
445,802286,7897,06:00:24,03:37:52,DROPPED
446,119119,3691,14:46:55,09:05:05,COMPLETED
447,434714,2821,10:38:04,07:14:10,FAILED
448,937106,5737,02:34:42,10:21:41,FAILED
449,479352,3284,07:47:23,03:07:11,COMPLETED
450,690188,8834,06:23:22,14:26:46,FAILED
451,154910,4884,15:48:52,05:31:12,FAILED
452,153421,6581,20:40:39,14:49:59,DROPPED
453,760739,8870,15:58:09,08:22:59,COMPLETED
454,627718,4130,11:35:45,09:04:19,DROPPED
455,528703,9725,17:34:54,20:07:05,FAILED
456,159318,3805,11:24:01,17:52:17,DROPPED
457,800006,9475,10:41:14,13:43:07,DROPPED
458,745365,3164,05:52:06,08:10:00,FAILED
459,339720,8495,20:45:36,06:35:03,DROPPED
460,847620,7836,11:44:15,23:33:30,COMPLETED
461,754054,6567,21:35:13,05:56:24,COMPLETED
462,303739,7038,19:39:03,23:40:14,FAILED
463,652674,8585,14:32:42,01:09:33,FAILED
464,837191,5437,20:42:51,06:35:55,DROPPED
465,690713,8710,11:16:40,12:47:58,COMPLETED
466,609853,2568,19:00:53,01:27:22,FAILED
467,540039,8159,15:19:45,10:42:23,FAILED
468,911057,7107,04:20:34,16:11:45,COMPLETED
469,789363,7505,03:29:58,12:07:31,COMPLETED
470,359131,8836,15:46:11,03:13:08,FAILED
471,414324,1482,09:23:25,17:12:19,COMPLETED
472,988608,9161,21:03:27,18:37:50,DROPPED
473,466329,5322,10:10:06,09:14:52,FAILED
474,773370,7973,20:26:59,17:23:12,COMPLETED
475,388665,8382,22:35:36,17:03:40,FAILED
476,147485,2991,00:53:49,02:02:42,DROPPED
477,564308,3198,00:02:28,04:56:47,FAILED
478,911600,6587,02:19:00,05:27:06,FAILED
479,723893,6806,23:30:20,13:28:30,COMPLETED
480,595588,3474,21:22:24,02:08:42,COMPLETED
481,321372,4744,02:52:55,09:54:07,COMPLETED
482,817993,4271,00:35:24,23:56:51,COMPLETED
483,223963,7488,13:12:58,06:57:18,DROPPED
484,498463,6588,16:36:28,03:52:37,FAILED
485,417569,8047,12:07:08,19:03:53,COMPLETED
486,542211,5521,11:53:05,19:20:50,DROPPED
487,543677,8132,22:31:40,20:44:55,FAILED
488,493368,6868,03:05:28,21:39:20,FAILED
489,931167,4408,04:25:42,23:56:36,DROPPED
490,323317,8878,15:44:40,06:41:08,DROPPED
491,210396,4432,08:13:27,09:27:35,DROPPED
492,836228,4616,15:42:23,12:09:40,DROPPED
493,972382,3003,18:01:23,03:43:11,COMPLETED
494,952111,4239,10:38:12,02:27:08,DROPPED
495,847334,7666,11:50:05,16:53:29,DROPPED
496,389498,4257,22:36:30,09:09:14,DROPPED
497,493443,9298,09:57:06,18:33:25,DROPPED
498,708836,4549,16:48:57,13:19:34,FAILED
499,418504,4386,14:20:02,16:39:19,DROPPED
500,981984,8364,10:15:14,09:49:14,FAILED
501,955491,7347,12:36:58,13:14:29,FAILED
502,566958,3665,19:42:05,12:14:43,DROPPED
503,933859,3579,11:11:46,07:35:37,FAILED
504,580733,9563,16:57:47,10:21:18,COMPLETED
505,124935,8303,08:44:51,07:24:21,DROPPED
506,762388,8412,02:12:09,01:49:35,COMPLETED
507,203002,2814,22:57:10,22:52:30,COMPLETED
508,492311,5767,08:32:41,10:32:07,COMPLETED
509,899759,5481,01:11:05,01:15:52,COMPLETED
510,269617,3246,11:46:55,23:41:27,DROPPED
511,869108,5967,17:44:09,17:42:54,FAILED
512,486729,2355,00:20:30,14:13:44,DROPPED
513,796851,9963,15:30:24,04:59:35,COMPLETED
514,907524,6981,18:17:40,09:59:39,COMPLETED
515,992512,2909,16:51:33,05:53:46,COMPLETED
516,637474,8464,19:29:37,14:57:38,COMPLETED
517,332334,2639,02:21:01,12:16:06,COMPLETED
518,223904,9309,23:09:53,12:53:54,COMPLETED
519,953066,4158,18:17:09,02:57:18,DROPPED
520,731899,8569,10:25:44,16:20:46,FAILED
521,418113,7446,03:30:24,16:00:24,DROPPED
522,770956,7492,19:37:40,04:45:54,FAILED
523,841535,8134,06:40:34,13:12:05,COMPLETED
524,209999,3856,07:55:36,12:53:23,COMPLETED
525,472448,7233,11:05:45,14:23:51,COMPLETED
526,325935,3201,18:16:03,22:01:03,FAILED
527,710550,3191,15:35:18,13:47:31,FAILED
528,551987,3423,23:33:34,11:41:26,FAILED
529,466923,5484,15:24:59,01:34:22,FAILED
530,592561,2883,20:32:44,15:35:40,FAILED
531,510869,1993,11:14:08,15:35:56,COMPLETED
532,660078,9165,12:21:37,11:50:47,DROPPED
533,181576,4207,10:20:25,03:01:22,COMPLETED
534,150500,6365,21:35:05,08:53:53,FAILED
